train/test,log type,severity,class,text,Reference,label_4class,label_node,label_job,label_total
train,syslog,3,file system,"kernel: LustreError: LOG ID:(mdc_request.c:[kNUM]:mdc_quotactl()) ptlrpc_queue_wait failed, rc: -3",,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: Physical link of the NIC virbr[eth ID] is down,,0,1,1,1
train,DELL LC ,2,board,Thermal: The ( arg1 ) reading ( arg2 C) exceeds the thermal limit.,,0,1,1,1
train,DELL LC ,2,fan,The speed (RPM) of the arg1 fan arg2 is less than the lower critical threshold.,,0,1,1,1
train,DELL LC ,3,"bios, firmware, driver",The iDRAC firmware is corrupted and unrecoverable.,,0,1,1,1
train,syslog,3,file system,kernel: FAT-fs (sdb[NUM]:) Volume was not properly unmounted. Some data may be corrupt. Please run fsck.,,0,1,1,1
train,DELL LC ,3,power,The system performance degraded because power capacity has changed.,,0,1,1,1
test,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 32, pid=[PIDNUM], Channel ID [kNUM] intr0 [kNUM] intr1 [kNUM]",,0,1,1,1
train,DELL LC ,2,memory,The memory module arg1 temperature is less than the lower critical threshold.,,0,1,1,1
train,syslog,3,switch,nv-fabricmanager: NVSwitch port connected to GPU index [IDX] pci bus id [ID]:CC:00.0 experienced an NVLink fatal error and requires port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.,,0,1,1,1
train,DELL LC ,3,"bmc, management module",Unable to initialize Management Engine because the Management Engine is not responding.,,0,1,1,1
test,syslog,3,file system,mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.,,0,1,1,1
train,syslog,3,storage,"kernel: nvme nvme1: I/O 19 QID [ID] timeout, reset controller",https://bugzilla.redhat.com/show_bug.cgi?id=1976411,0,1,1,1
train,DELL LC ,3,memory,M: One or more memory errors have occurred during the Double Data Rate (DDR) memory channel initialization on the memory slot arg1 .,,0,1,1,1
train,HPE IML,3,memory,"High rate of corrected memory errors,performance may be degraded",,0,1,1,1
test,syslog,3,switch,"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE EXTERR",,0,1,1,1
train,syslog,3,switch,"kernel: nvidia-nvswitch3: SXid (PCI:[device id]): [kNUM], Data {0x[kNUM]Jan 6 23:42:50 [agpu NODE ID] kernel: Linux version [version][kNUM]l8.x86_64 (mockbuild@x86-vm[kNUM]uild.eng.bos.redhat.com) (gcc version [version] [kNUM] (Red Hat [ADDR][kNUM]) (GCC)) #1 SMP Wed Sep 23 05:13:10 EDT [kNUM]",,0,1,1,1
train,DELL LC ,2,power,The DC power supply is switched off.,,0,1,1,1
train,syslog,3,nic,mount: mount.nfs: Network is unreachable,,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_GCC faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",,0,1,1,1
train,HPE IML,2,cpu,Processor UPI Initialization Error. A processorUPI initalization error was detected.,,0,1,1,1
train,DELL LC ,3,memory,An uncorrectable Memory Error has occurred because a Dual Inline Memory Module (DIMM) is not functioning.,,0,1,1,1
test,DELL LC ,2,"bus, io module, pci",Quick Path Interconnect (QPI) initialization error detected.,,0,1,1,1
test,syslog,3,"bios, firmware, driver",root: nv_peer_mem: Error: Module nv_peer_mem does not exist,,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: Spectrum Scale port [NUM] is not active,,0,1,1,1
test,syslog,3,gpu,"NVRM: Xid (PCI:0000:4c:00): 31, pid=1545413, Ch 00000008, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_0 faulted @ 0x151f_b400a000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_WRITE1",,0,1,1,1
train,DELL LC ,2,board,The arg1 temperature is greater than the upper critical threshold.,,0,1,1,1
train,syslog,3,service,"systemd: gpfs.service: Control process exited, code=exited status=1",,0,1,1,1
train,syslog,3,"bus, io module, pci",kernel: pcieport [NUM]:a0:[kNUM]: PCI INT A: not connected,,0,1,1,1
train,DELL LC ,2,power,The power input for power supply arg1 is lost.,,0,1,1,1
train,DELL LC ,3,memory,Unsupported Unregistered Dual In-line Memory Module (UDIMM) memory is installed on memory slot: arg1 .,,0,1,1,1
train,syslog,3,file system,mmfs: [E] VERBS RDMA closed connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]0 [cookie ID] RDMA send error IBV_WC_WR_FLUSH_ERR,,0,1,1,1
