train/test,log type,severity,class,text,Reference,label_4class,label_node,label_job,label_total
train,DELL LC ,3,unknown,The health of sled in the sled slot arg1 is in Critical state.,,0,1,1,1
train,DELL LC ,2,unknown,Server arg1 is removed.,,0,1,1,1
test,HPE IML,3,unknown,Uncorrectable error was detected,,0,1,1,1
train,DELL LC ,3,unknown,arg1 is sending inconsistent responses to the controller.,,0,1,1,1
train,DELL LC ,3,unknown,arg1 is not functioning correctly.,,0,1,1,1
train,DELL LC ,3,unknown,Unable to allocate resources.,,0,1,1,1
train,DELL LC ,2,unknown,The arg1 is removed from slot arg2 .,,0,1,1,1
train,DELL LC ,3,unknown,Consistency check for arg1 has completed with uncorrectable errors.,,0,1,1,1
train,DELL LC ,2,unknown,arg1 is not responding.,,0,1,1,1
train,DELL LC ,2,unknown,A hardware incompatibility is detected between arg1 arg2 and arg3 arg4 .,,0,1,1,1
train,DELL LC ,2,unknown,arg1 is shutdown.,,0,1,1,1
train,HPE IML,3,unknown,Trusted Platform Module (TPM) self-test error,,0,1,1,1
test,DELL LC ,3,unknown,Resource allocation error.,,0,1,1,1
test,DELL LC ,3,unknown,Unable to complete the operation because of an unknown issue.,,0,1,1,1
train,DELL LC ,3,unknown,The arg1 is not installed correctly.,,0,1,1,1
train,DELL LC ,3,unknown,Unable to run the command because of a general issue.,,0,1,1,1
train,DELL LC ,2,unknown,arg1 has a hardware error.,,0,1,1,1
train,DELL LC ,2,unknown,The watchdog timer expired.,,0,1,1,1
train,DELL LC ,3,unknown,General failure.,,0,1,1,1
train,HPE IML,3,unknown,Intel Trusted Execution Error: Intel TXT BIOSACM has reported an error (code:0x%1),,0,1,1,1
train,DELL LC ,3,unknown,An internal system error has occurred.,,0,1,1,1
train,DELL LC ,3,unknown,An internal error occurred and a failover condition is detected.,,0,1,1,1
train,syslog,2,unknown,kernel: Do you have a strange power saving mode enabled?,https://lore.kernel.org/all/Yi8f9PYNEHksy3io@hirez.programming.kicks-ass.net/T/,0,1,1,1
train,HPE IML,3,unknown,Uncorrectable Machine Check Exception (Processor 1. APIC ID 0x00000032. Bank 0x00000005. Status 0xBEA00000'00000108. Address 0x01FFFFFF'97AEF5C6. Misc 0xD01C0000'00000000),,0,1,1,1
train,DELL LC ,3,unknown,Communication with arg1 is intermittent.,,0,1,1,1
test,DELL LC ,3,unknown,Server arg1 health changed to a critical state from either a normal or warning state.,,0,1,1,1
train,HPE IML,3,unknown,System initialization error,,0,1,1,1
test,DELL LC ,3,unknown,Intel Trusted Execution Technology (TXT) fatal error.,,0,1,1,1
