text,class,train/test,top_attention_words,masked_text_attention
"kernel: LustreError: LOG ID:(mdc_request.c:[kNUM]:mdc_quotactl()) ptlrpc_queue_wait failed, rc: -3",file system,train,['LOG'],"kernel: LustreError: ID:(mdc_request.c:[kNUM]:mdc_quotactl()) ptlrpc_queue_wait failed, rc: -3"
mmsysmon: [E] Event raised: Physical link of the NIC virbr[eth ID] is down,file system,train,"['Event', 'mmsysmon:']",[E] raised: Physical link of the NIC virbr[eth ID] is down
Thermal: The ( arg1 ) reading ( arg2 C) exceeds the thermal limit.,board,train,"['Thermal:', 'thermal']",The ( arg1 ) reading ( arg2 C) exceeds the limit.
The speed (RPM) of the arg1 fan arg2 is less than the lower critical threshold.,fan,train,"['threshold.', 'fan']",The speed (RPM) of the arg1 arg2 is less than the lower critical
The iDRAC firmware is corrupted and unrecoverable.,"bios, firmware, driver",train,['The'],iDRAC firmware is corrupted and unrecoverable.
kernel: FAT-fs (sdb[NUM]:) Volume was not properly unmounted. Some data may be corrupt. Please run fsck.,file system,train,"['FAT-fs', 'kernel:']",(sdb[NUM]:) Volume was not properly unmounted. Some data may be corrupt. Please run fsck.
The system performance degraded because power capacity has changed.,power,train,['system'],The performance degraded because power capacity has changed.
"kernel: NVRM: Xid (PCI:[device id]): 32, pid=[PIDNUM], Channel ID [kNUM] intr0 [kNUM] intr1 [kNUM]",gpu,test,"['kernel:', 'NVRM:']","Xid (PCI:[device id]): 32, pid=[PIDNUM], Channel ID [kNUM] intr0 [kNUM] intr1 [kNUM]"
The memory module arg1 temperature is less than the lower critical threshold.,memory,train,"['memory', 'temperature']",The module arg1 is less than the lower critical threshold.
nv-fabricmanager: NVSwitch port connected to GPU index [IDX] pci bus id [ID]:CC:00.0 experienced an NVLink fatal error and requires port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.,switch,train,"['nv-fabricmanager:', 'pci', 'recover.', 'NVLink', 'NVSwitch']",port connected to GPU index [IDX] bus id [ID]:CC:00.0 experienced an fatal error and requires port reset to All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.
Unable to initialize Management Engine because the Management Engine is not responding.,"bmc, management module",train,['initialize'],Unable to Management Engine because the Management Engine is not responding.
mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.,file system,test,"['mmfs:', '[E]']",Close connection [ip] [agpu NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.
"kernel: nvme nvme1: I/O 19 QID [ID] timeout, reset controller",storage,train,['kernel:'],"nvme nvme1: I/O 19 QID [ID] timeout, reset controller"
M: One or more memory errors have occurred during the Double Data Rate (DDR) memory channel initialization on the memory slot arg1 .,memory,train,"['M:', 'memory']",One or more errors have occurred during the Double Data Rate (DDR) channel initialization on the slot arg1 .
"High rate of corrected memory errors,performance may be degraded",memory,train,['memory'],"High rate of corrected errors,performance may be degraded"
"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE EXTERR",switch,test,['kernel:'],"nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE EXTERR"
"kernel: nvidia-nvswitch3: SXid (PCI:[device id]): [kNUM], Data {0x[kNUM]Jan 6 23:42:50 [agpu NODE ID] kernel: Linux version [version][kNUM]l8.x86_64 (mockbuild@x86-vm[kNUM]uild.eng.bos.redhat.com) (gcc version [version] [kNUM] (Red Hat [ADDR][kNUM]) (GCC)) #1 SMP Wed Sep 23 05:13:10 EDT [kNUM]",switch,train,"['nvidia-nvswitch3:', 'kernel:', 'SXid', 'Data']","(PCI:[device id]): [kNUM], {0x[kNUM]Jan 6 23:42:50 [agpu NODE ID] Linux version [version][kNUM]l8.x86_64 (mockbuild@x86-vm[kNUM]uild.eng.bos.redhat.com) (gcc version [version] [kNUM] (Red Hat [ADDR][kNUM]) (GCC)) #1 SMP Wed Sep 23 05:13:10 EDT [kNUM]"
The DC power supply is switched off.,power,train,['power'],The DC supply is switched off.
mount: mount.nfs: Network is unreachable,nic,train,['mount:'],mount.nfs: Network is unreachable
"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_GCC faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",gpu,train,"['kernel:', 'NVRM:', 'id]):']","Xid (PCI:[device 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_GCC faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE access_TYPE_VIRT_READ"
