train/test,log type,severity,class,text,Reference,label_4class,label_node,label_job,label_total,masked_text
train,syslog,3,file system,"kernel: LustreError: LOG ID:(mdc_request.c:[kNUM]:mdc_quotactl()) ptlrpc_queue_wait failed, rc: -3",,0,1,1,1,mdc request c NUM mdc quotactl ptlrpc queue wait rc
train,syslog,3,file system,mmsysmon: [E] Event raised: Physical link of the NIC virbr[eth ID] is down,,0,1,1,1,event physical virbr NETIF
train,DELL LC ,2,board,Thermal: The ( arg1 ) reading ( arg2 C) exceeds the thermal limit.,,0,1,1,1,ARG reading ARG c exceeds
train,DELL LC ,2,fan,The speed (RPM) of the arg1 fan arg2 is less than the lower critical threshold.,,0,1,1,1,speed ARG ARG
train,DELL LC ,3,"bios, firmware, driver",The iDRAC firmware is corrupted and unrecoverable.,,0,1,1,1,corrupted and unrecoverable
train,syslog,3,file system,kernel: FAT-fs (sdb[NUM]:) Volume was not properly unmounted. Some data may be corrupt. Please run fsck.,,0,1,1,1,fat fs sdb NUM volume properly unmounted some data may corrupt please run fsck
train,DELL LC ,3,power,The system performance degraded because power capacity has changed.,,0,1,1,1,performance degraded capacity changed
test,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 32, pid=[PIDNUM], Channel ID [kNUM] intr0 [kNUM] intr1 [kNUM]",,0,1,1,1,ID 32 NUM channel NUM intr0 NUM intr1 NUM
train,DELL LC ,2,memory,The memory module arg1 temperature is less than the lower critical threshold.,,0,1,1,1,ARG
train,syslog,3,switch,nv-fabricmanager: NVSwitch port connected to GPU index [IDX] pci bus id [ID]:CC:00.0 experienced an NVLink fatal error and requires port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.,,0,1,1,1,fabricmanager connected index NUM ID cc 0 experienced an nvlink and requires recover all running cuda jobs PATH will affected 012resetting specified may clear issue please refer your user ID for instructions
train,DELL LC ,3,"bmc, management module",Unable to initialize Management Engine because the Management Engine is not responding.,,0,1,1,1,initialize
test,syslog,3,file system,mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.,,0,1,1,1,ADDR agpu NETIF broken attempting
train,syslog,3,storage,"kernel: nvme nvme1: I/O 19 QID [ID] timeout, reset controller",https://bugzilla.redhat.com/show_bug.cgi?id=1976411,0,1,1,1,nvme nvme1 i o 19 qid ID timeout
train,DELL LC ,3,memory,M: One or more memory errors have occurred during the Double Data Rate (DDR) memory channel initialization on the memory slot arg1 .,,0,1,1,1,m one more errors have during double data rate ddr channel ARG
train,HPE IML,3,memory,"High rate of corrected memory errors,performance may be degraded",,0,1,1,1,high rate corrected errors performance may degraded
test,syslog,3,switch,"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE EXTERR",,0,1,1,1,ID NUM exterr
train,syslog,3,switch,"kernel: nvidia-nvswitch3: SXid (PCI:[device id]): [kNUM], Data {0x[kNUM]Jan 6 23:42:50 [agpu NODE ID] kernel: Linux version [version][kNUM]l8.x86_64 (mockbuild@x86-vm[kNUM]uild.eng.bos.redhat.com) (gcc version [version] [kNUM] (Red Hat [ADDR][kNUM]) (GCC)) #1 SMP Wed Sep 23 05:13:10 EDT [kNUM]",,0,1,1,1,nvswitch3 ID NUM data NUM jan 6 23 42 50 agpu linux version VERSION NUM l8 x86 64 mockbuild x86 vm NUM uild eng bos redhat com gcc version VERSION NUM red hat ADDR NUM gcc smp wed sep 23 05 13 10 edt NUM
train,DELL LC ,2,power,The DC power supply is switched off.,,0,1,1,1,dc switched off
train,syslog,3,nic,mount: mount.nfs: Network is unreachable,,0,1,1,1,nfs unreachable
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_GCC faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",,0,1,1,1,ID 31 NUM NUM intr NUM mmu gpcclient gcc faulted NUM NUM pte access virt read
train,HPE IML,2,cpu,Processor UPI Initialization Error. A processorUPI initalization error was detected.,,0,1,1,1,processorupi initalization
train,DELL LC ,3,memory,An uncorrectable Memory Error has occurred because a Dual Inline Memory Module (DIMM) is not functioning.,,0,1,1,1,an uncorrectable inline functioning
test,DELL LC ,2,"bus, io module, pci",Quick Path Interconnect (QPI) initialization error detected.,,0,1,1,1,quick interconnect qpi
test,syslog,3,"bios, firmware, driver",root: nv_peer_mem: Error: Module nv_peer_mem does not exist,,0,1,1,1,root peer peer does exist
train,syslog,3,file system,mmsysmon: [E] Event raised: Spectrum Scale port [NUM] is not active,,0,1,1,1,event spectrum scale NUM active
test,syslog,3,gpu,"NVRM: Xid (PCI:0000:4c:00): 31, pid=1545413, Ch 00000008, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_0 faulted @ 0x151f_b400a000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_WRITE1",,0,1,1,1,4c 31 1545413 00000008 intr 00000000 mmu gpcclient t1 0 faulted 0x151f b400a000 pde access virt write1
train,DELL LC ,2,board,The arg1 temperature is greater than the upper critical threshold.,,0,1,1,1,ARG greater upper
train,syslog,3,service,"systemd: gpfs.service: Control process exited, code=exited status=1",,0,1,1,1,gpfs control
train,syslog,3,"bus, io module, pci",kernel: pcieport [NUM]:a0:[kNUM]: PCI INT A: not connected,,0,1,1,1,pcieport NUM a0 NUM int connected
train,DELL LC ,2,power,The power input for power supply arg1 is lost.,,0,1,1,1,input for ARG lost
train,DELL LC ,3,memory,Unsupported Unregistered Dual In-line Memory Module (UDIMM) memory is installed on memory slot: arg1 .,,0,1,1,1,unregistered line udimm installed ARG
train,syslog,3,file system,mmfs: [E] VERBS RDMA closed connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]0 [cookie ID] RDMA send error IBV_WC_WR_FLUSH_ERR,,0,1,1,1,verbs rdma closed ADDR stnfs PATH NUM fabnum NUM index NUM 0 ID rdma send ibv wc wr flush err
train,syslog,3,file system,kernel: LustreError: [kNUM]: Nothing registered for client mount! Is the 'lustre' module lo[kNUM]?,,0,1,1,1,NUM nothing registered for client lustre lo NUM
train,DELL LC ,3,storage,The FRU on storage sled arg1 is not functioning.,,0,1,1,1,fru sled ARG functioning
test,syslog,3,service,"systemd: local_scratch.mount: Mount process exited, code=exited status=32",,0,1,1,1,local scratch 32
train,syslog,3,file system,mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[0] (Broken pipe). Attempting reconnect.,,0,1,1,1,ADDR sth NETIF 0 broken attempting
train,syslog,3,storage,"kernel: Buffer I/O error on dev sdb1, logical block 128, async page read",,0,1,1,1,buffer i o dev sdb1 logical 128 async read
test,syslog,3,file system,"mmfs: [X] Recovery Log I/O failed, unmounting file system gpfs.sr06",,0,1,1,1,x recovery i o unmounting gpfs sr06
train,DELL LC ,3,"bmc, management module",The Management Engine firmware has recovered from one or more correctable errors.,,0,1,1,1,recovered from one more correctable errors
train,syslog,3,switch,"kernel: nvidia-nvswitch0: SXid (PCI:[device id]): 19084, Non-fatal, Link 09 AN1 Heartbeat Timeout Error (First)",,0,1,1,1,ID 19084 non 09 an1 heartbeat timeout first
