text,class,label,train/test,top_attention_words,masked_text_attention
"kernel: LustreError: LOG ID:(mdc_request.c:[kNUM]:mdc_quotactl()) ptlrpc_queue_wait failed, rc: -3",file system,0,train,['kernel:'],"LustreError: LOG ID:(mdc_request.c:[kNUM]:mdc_quotactl()) ptlrpc_queue_wait failed, rc: -3"
mmsysmon: [E] Event raised: Physical link of the NIC virbr[eth ID] is down,file system,0,train,"['is', 'down']",mmsysmon: [E] Event raised: Physical link of the NIC virbr[eth ID]
Thermal: The ( arg1 ) reading ( arg2 C) exceeds the thermal limit.,board,0,train,"['The', 'reading']",Thermal: ( arg1 ) ( arg2 C) exceeds thermal limit.
The speed (RPM) of the arg1 fan arg2 is less than the lower critical threshold.,fan,0,train,"['is', 'The']",speed (RPM) of arg1 fan arg2 less than lower critical threshold.
The iDRAC firmware is corrupted and unrecoverable.,"bios, firmware, driver",0,train,['is'],The iDRAC firmware corrupted and unrecoverable.
kernel: FAT-fs (sdb[NUM]:) Volume was not properly unmounted. Some data may be corrupt. Please run fsck.,file system,0,train,"['was', 'kernel:']",FAT-fs (sdb[NUM]:) Volume not properly unmounted. Some data may be corrupt. Please run fsck.
The system performance degraded because power capacity has changed.,power,0,train,['because'],The system performance degraded power capacity has changed.
"kernel: NVRM: Xid (PCI:[device id]): 32, pid=[PIDNUM], Channel ID [kNUM] intr0 [kNUM] intr1 [kNUM]",gpu,0,test,"['kernel:', '32,']","NVRM: Xid (PCI:[device id]): pid=[PIDNUM], Channel ID [kNUM] intr0 [kNUM] intr1 [kNUM]"
The memory module arg1 temperature is less than the lower critical threshold.,memory,0,train,"['is', 'The']",memory module arg1 temperature less than lower critical threshold.
nv-fabricmanager: NVSwitch port connected to GPU index [IDX] pci bus id [ID]:CC:00.0 experienced an NVLink fatal error and requires port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.,switch,0,train,"['index', 'connected', 'experienced', 'nv-fabricmanager:', 'requires']",NVSwitch port to GPU [IDX] pci bus id [ID]:CC:00.0 an NVLink fatal error and port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.
Unable to initialize Management Engine because the Management Engine is not responding.,"bmc, management module",0,train,['because'],Unable to initialize Management Engine the Management Engine is not responding.
mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.,file system,0,test,"['connection', 'mmfs:']",[E] Close [ip] [agpu NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.
"kernel: nvme nvme1: I/O 19 QID [ID] timeout, reset controller",storage,0,train,['kernel:'],"nvme nvme1: I/O 19 QID [ID] timeout, reset controller"
M: One or more memory errors have occurred during the Double Data Rate (DDR) memory channel initialization on the memory slot arg1 .,memory,0,train,"['have', 'M:']",One or more memory errors occurred during the Double Data Rate (DDR) memory channel initialization on the memory slot arg1 .
"High rate of corrected memory errors,performance may be degraded",memory,0,train,['rate'],"High of corrected memory errors,performance may be degraded"
"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE EXTERR",switch,0,test,['kernel:'],"nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE EXTERR"
"kernel: nvidia-nvswitch3: SXid (PCI:[device id]): [kNUM], Data {0x[kNUM]Jan 6 23:42:50 [agpu NODE ID] kernel: Linux version [version][kNUM]l8.x86_64 (mockbuild@x86-vm[kNUM]uild.eng.bos.redhat.com) (gcc version [version] [kNUM] (Red Hat [ADDR][kNUM]) (GCC)) #1 SMP Wed Sep 23 05:13:10 EDT [kNUM]",switch,0,train,"['#1', 'SMP', '6', 'kernel:']","nvidia-nvswitch3: SXid (PCI:[device id]): [kNUM], Data {0x[kNUM]Jan 23:42:50 [agpu NODE ID] Linux version [version][kNUM]l8.x86_64 (mockbuild@x86-vm[kNUM]uild.eng.bos.redhat.com) (gcc version [version] [kNUM] (Red Hat [ADDR][kNUM]) (GCC)) Wed Sep 23 05:13:10 EDT [kNUM]"
The DC power supply is switched off.,power,0,train,['is'],The DC power supply switched off.
mount: mount.nfs: Network is unreachable,nic,0,train,['is'],mount: mount.nfs: Network unreachable
"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_GCC faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",gpu,0,train,"['kernel:', 'Fault:', 'is']","NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU ENGINE GRAPHICS GPCCLIENT_GCC faulted @ 0x[kNUM]_[kNUM] Fault of type FAULT_PTE access_TYPE_VIRT_READ"
Processor UPI Initialization Error. A processorUPI initalization error was detected.,cpu,0,train,['Error.'],Processor UPI Initialization A processorUPI initalization error was detected.
An uncorrectable Memory Error has occurred because a Dual Inline Memory Module (DIMM) is not functioning.,memory,0,train,"['is', 'because']",An uncorrectable Memory Error has occurred a Dual Inline Memory Module (DIMM) not functioning.
Quick Path Interconnect (QPI) initialization error detected.,"bus, io module, pci",0,test,['error'],Quick Path Interconnect (QPI) initialization detected.
root: nv_peer_mem: Error: Module nv_peer_mem does not exist,"bios, firmware, driver",0,test,['exist'],root: nv_peer_mem: Error: Module nv_peer_mem does not
mmsysmon: [E] Event raised: Spectrum Scale port [NUM] is not active,file system,0,train,"['is', 'port']",mmsysmon: [E] Event raised: Spectrum Scale [NUM] not active
"NVRM: Xid (PCI:0000:4c:00): 31, pid=1545413, Ch 00000008, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_0 faulted @ 0x151f_b400a000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_WRITE1",gpu,0,test,"['is', 'Fault:', '31,']","NVRM: Xid (PCI:0000:4c:00): pid=1545413, Ch 00000008, intr 00000000. MMU ENGINE GRAPHICS GPCCLIENT_T1_0 faulted @ 0x151f_b400a000. Fault of type FAULT_PDE ACCESS_TYPE_VIRT_WRITE1"
The arg1 temperature is greater than the upper critical threshold.,board,0,train,['is'],The arg1 temperature greater than the upper critical threshold.
"systemd: gpfs.service: Control process exited, code=exited status=1",service,0,train,['systemd:'],"gpfs.service: Control process exited, code=exited status=1"
kernel: pcieport [NUM]:a0:[kNUM]: PCI INT A: not connected,"bus, io module, pci",0,train,['kernel:'],pcieport [NUM]:a0:[kNUM]: PCI INT A: not connected
The power input for power supply arg1 is lost.,power,0,train,['is'],The power input for power supply arg1 lost.
Unsupported Unregistered Dual In-line Memory Module (UDIMM) memory is installed on memory slot: arg1 .,memory,0,train,"['is', 'installed']",Unsupported Unregistered Dual In-line Memory Module (UDIMM) memory on memory slot: arg1 .
mmfs: [E] VERBS RDMA closed connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]0 [cookie ID] RDMA send error IBV_WC_WR_FLUSH_ERR,file system,0,train,"['error', 'closed', 'mmfs:']",[E] VERBS RDMA connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]0 [cookie ID] RDMA send IBV_WC_WR_FLUSH_ERR
kernel: LustreError: [kNUM]: Nothing registered for client mount! Is the 'lustre' module lo[kNUM]?,file system,0,train,"['Is', 'Nothing']",kernel: LustreError: [kNUM]: registered for client mount! the 'lustre' module lo[kNUM]?
The FRU on storage sled arg1 is not functioning.,storage,0,train,['The'],FRU on storage sled arg1 is not functioning.
"systemd: local_scratch.mount: Mount process exited, code=exited status=32",service,0,test,['systemd:'],"local_scratch.mount: Mount process exited, code=exited status=32"
mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[0] (Broken pipe). Attempting reconnect.,file system,0,train,"['connection', 'mmfs:']",[E] Close [ip] [sth NODE ID] <c0n[interface ID]>:[0] (Broken pipe). Attempting reconnect.
"kernel: Buffer I/O error on dev sdb1, logical block 128, async page read",storage,0,train,"['error', 'kernel:']","Buffer I/O on dev sdb1, logical block 128, async page read"
"mmfs: [X] Recovery Log I/O failed, unmounting file system gpfs.sr06",file system,0,test,"['failed,']",mmfs: [X] Recovery Log I/O unmounting file system gpfs.sr06
The Management Engine firmware has recovered from one or more correctable errors.,"bmc, management module",0,train,"['has', 'recovered']",The Management Engine firmware from one or more correctable errors.
"kernel: nvidia-nvswitch0: SXid (PCI:[device id]): 19084, Non-fatal, Link 09 AN1 Heartbeat Timeout Error (First)",switch,0,train,"['kernel:', 'Error']","nvidia-nvswitch0: SXid (PCI:[device id]): 19084, Non-fatal, Link 09 AN1 Heartbeat Timeout (First)"
systemd: LSF.mount: Mounting timed out. Terminating.,service,0,train,['out.'],systemd: LSF.mount: Mounting timed Terminating.
iDRAC communication failure.,"bmc, management module",0,train,['failure.'],iDRAC communication
kernel: watchdog: BUG: soft lockup - CPU#[CPU NUM] stuck for [SEC]s! [zabbix_agent2:[NUM],os,0,train,"['stuck', 'kernel:']",watchdog: BUG: soft lockup - CPU#[CPU NUM] for [SEC]s! [zabbix_agent2:[NUM]
arg1 is unable to recover cached data from the Battery Backup Unit (BBU).,battery,0,train,"['is', 'unable']",arg1 to recover cached data from the Battery Backup Unit (BBU).
"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 3, SM [NUM]:) Illegal Instruction",gpu,0,train,"['kernel:', 'Illegal']","NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 3, SM [NUM]:) Instruction"
A failure detected on power unit arg1 .,power,0,train,['A'],failure detected on power unit arg1 .
"Memory device status is critical. Memory device location: arg1 , Possible memory module event cause: arg2 .",memory,0,train,"['is', 'status']","Memory device critical. Memory device location: arg1 , Possible memory module event cause: arg2 ."
systemd: nvidia-fabricmanager.service: Processes still around after final SIGKILL. Entering failed mode.,service,0,train,"['final', 'still']",systemd: nvidia-fabricmanager.service: Processes around after SIGKILL. Entering failed mode.
The fans are not redundant. Insufficient resources to maintain normal operations.,fan,0,train,"['are', 'The']",fans not redundant. Insufficient resources to maintain normal operations.
"HPE Persistent Memory Configuration Error:(Major Code:%1, Minor Code:%2)","setting, config",0,train,['Memory'],"HPE Persistent Configuration Error:(Major Code:%1, Minor Code:%2)"
kernel: nvidia [device id]: can't recover (no error_detected callback),gpu,0,train,"[""can't""]",kernel: nvidia [device id]: recover (no error_detected callback)
Fault detected on drive arg1 .,storage,0,train,['detected'],Fault on drive arg1 .
kernel: NVRM: The NVIDIA probe routine was not called for 4 device(s).,"bios, firmware, driver",0,train,"['was', 'not']",kernel: NVRM: The NVIDIA probe routine called for 4 device(s).
mmsysmon: [E] Event raised: Physical link of the NIC ens[eth ID] is down,file system,0,train,"['is', 'down']",mmsysmon: [E] Event raised: Physical link of the NIC ens[eth ID]
"kernel: NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Ch [kNUM]",gpu,0,train,['kernel:'],"NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Ch [kNUM]"
"NVRM: Xid (PCI:0000:41:00): 31, pid=959064, Ch 00000012, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_13 faulted @ 0x14f4_84000000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_READ",gpu,0,train,"['is', 'Fault:', '31,']","NVRM: Xid (PCI:0000:41:00): pid=959064, Ch 00000012, intr 00000000. MMU ENGINE GRAPHICS GPCCLIENT_T1_13 faulted @ 0x14f4_84000000. Fault of type FAULT_PDE ACCESS_TYPE_VIRT_READ"
"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 0, SM [NUM]:) MMU Fault",gpu,0,train,"['kernel:', 'Exception']","NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp (GPC 0, TPC 0, SM [NUM]:) MMU Fault"
kernel: LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_quotactl()) getquota [path] 10 failed. -4,file system,0,train,['kernel:'],LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_quotactl()) getquota [path] 10 failed. -4
BIOS corruption is detected in the server.,"bios, firmware, driver",0,train,['is'],BIOS corruption detected in the server.
MemBIST MEMTEST: Uncorrectable memoryerror,memory,0,test,['memoryerror'],MemBIST MEMTEST: Uncorrectable
One or more PCIe device errors occurred in the previous boot.,"bus, io module, pci",0,test,"['errors', 'occurred']",One or more PCIe device in the previous boot.
arg1 has crossed the minimum failure threshold.,board,0,train,['has'],arg1 crossed the minimum failure threshold.
"kernel: ipmi_si IPI[kNUM]:00: The BMC does not support setting the recv irq bit, compensating, but the BMC needs to be fixed.","bmc, management module",0,test,"['kernel:', 'but']","ipmi_si IPI[kNUM]:00: The BMC does not support setting the recv irq bit, compensating, the BMC needs to be fixed."
