text,class,train/test,top_attention_words,masked_text_attention
The health of sled in the sled slot arg1 is in Critical state.,unknown,train,"['health', 'slot']",The of sled in the sled arg1 is in Critical state.
Server arg1 is removed.,unknown,train,['Server'],arg1 is removed.
Uncorrectable error was detected,unknown,test,['error'],Uncorrectable was detected
arg1 is sending inconsistent responses to the controller.,unknown,train,['controller.'],arg1 is sending inconsistent responses to the
arg1 is not functioning correctly.,unknown,train,['is'],arg1 not functioning correctly.
Unable to allocate resources.,unknown,train,['Unable'],to allocate resources.
The arg1 is removed from slot arg2 .,unknown,train,['slot'],The arg1 is removed from arg2 .
Consistency check for arg1 has completed with uncorrectable errors.,unknown,train,['arg1'],Consistency check for has completed with uncorrectable errors.
arg1 is not responding.,unknown,train,['is'],arg1 not responding.
A hardware incompatibility is detected between arg1 arg2 and arg3 arg4 .,unknown,train,['hardware'],A incompatibility is detected between arg1 arg2 and arg3 arg4 .
arg1 is shutdown.,unknown,train,['shutdown.'],arg1 is
Trusted Platform Module (TPM) self-test error,unknown,train,['error'],Trusted Platform Module (TPM) self-test
Resource allocation error.,unknown,test,['error.'],Resource allocation
Unable to complete the operation because of an unknown issue.,unknown,test,['issue.'],Unable to complete the operation because of an unknown
The arg1 is not installed correctly.,unknown,train,['The'],arg1 is not installed correctly.
Unable to run the command because of a general issue.,unknown,train,['Unable'],to run the command because of a general issue.
arg1 has a hardware error.,unknown,train,['hardware'],arg1 has a error.
The watchdog timer expired.,unknown,train,['timer'],The watchdog expired.
General failure.,unknown,train,['General'],failure.
Intel Trusted Execution Error: Intel TXT BIOSACM has reported an error (code:0x%1),unknown,train,"['Error:', 'Intel']",Trusted Execution TXT BIOSACM has reported an error (code:0x%1)
An internal system error has occurred.,unknown,train,['error'],An internal system has occurred.
An internal error occurred and a failover condition is detected.,unknown,train,['error'],An internal occurred and a failover condition is detected.
kernel: Do you have a strange power saving mode enabled?,unknown,train,['kernel:'],Do you have a strange power saving mode enabled?
Uncorrectable Machine Check Exception (Processor 1. APIC ID 0x00000032. Bank 0x00000005. Status 0xBEA00000'00000108. Address 0x01FFFFFF'97AEF5C6. Misc 0xD01C0000'00000000),unknown,train,"['(Processor', 'Check']",Uncorrectable Machine Exception 1. APIC ID 0x00000032. Bank 0x00000005. Status 0xBEA00000'00000108. Address 0x01FFFFFF'97AEF5C6. Misc 0xD01C0000'00000000)
Communication with arg1 is intermittent.,unknown,train,['intermittent.'],Communication with arg1 is
Server arg1 health changed to a critical state from either a normal or warning state.,unknown,test,"['Server', 'health']",arg1 changed to a critical state from either a normal or warning state.
System initialization error,unknown,train,['System'],initialization error
Intel Trusted Execution Technology (TXT) fatal error.,unknown,test,['Intel'],Trusted Execution Technology (TXT) fatal error.
The watchdog timer expired at arg1 .,unknown,train,['timer'],The watchdog expired at arg1 .
The system was reset due to a timeout from the watchdog timer.,unknown,train,"['system', 'The']",was reset due to a timeout from watchdog timer.
"kernel: perf: Dynamic interrupt throttling disabled, can hang your system!",unknown,train,['perf:'],"kernel: Dynamic interrupt throttling disabled, can hang your system!"
Unable to service the request because of an internal system error.,unknown,test,"['error.', 'Unable']",to service the request because of an internal system
"Improperly seated or missing device (%1, %2)",unknown,test,['device'],"Improperly seated or missing (%1, %2)"
arg1 in slot arg2 is offline.,unknown,train,['offline.'],arg1 in slot arg2 is
Timeout waiting for the device to respond.,unknown,test,['Timeout'],waiting for the device to respond.
arg1 is switched OFF.,unknown,test,['OFF.'],arg1 is switched
A fatal error was detected on a component at slot arg1 .,unknown,test,['slot'],A fatal error was detected on a component at arg1 .
Uncorrectable Machine Check Exception Extended Registers (Conf 0x00000003'000001F9. Ipid 0x000500B0'00000032. Synd 0x00000000'4D000000. DeStat 0x00000000'00000000. DeAddr 0x00000000'00000000 Misc1 0x0000000000000000),unknown,train,"['Machine', '(Conf']",Uncorrectable Check Exception Extended Registers 0x00000003'000001F9. Ipid 0x000500B0'00000032. Synd 0x00000000'4D000000. DeStat 0x00000000'00000000. DeAddr 0x00000000'00000000 Misc1 0x0000000000000000)
The peripheral device in slot arg1 is in critical state.,unknown,train,['slot'],The peripheral device in arg1 is in critical state.
The arg1 has turned off because the critical temperature threshold is exceeded.,unknown,train,['temperature'],The arg1 has turned off because the critical threshold is exceeded.
Background Initialization (BGI) completed with uncorrectable errors on arg1 .,unknown,train,['Background'],Initialization (BGI) completed with uncorrectable errors on arg1 .
The watchdog timer performed an AC power cycle on the system at arg1 .,unknown,test,['timer'],The watchdog performed an AC power cycle on the system at arg1 .
arg1 was removed,unknown,train,['removed'],arg1 was
An unknown system hardware failure detected.,unknown,train,['system'],An unknown hardware failure detected.
The FRU on server arg1 is not functioning.,unknown,train,['server'],The FRU on arg1 is not functioning.
A critical system health error requires the systemto be shut down,unknown,train,"['A', 'error']",critical system health requires the systemto be shut down
A Machine-Check Exception (MCE) error has occurred.,unknown,test,['error'],A Machine-Check Exception (MCE) has occurred.
The watchdog timer power cycled the system.,unknown,train,['timer'],The watchdog power cycled the system.
An unexpected error occurred.,unknown,test,['error'],An unexpected occurred.
Parity error.,unknown,train,['error.'],Parity
System Shutdown.,unknown,train,['System'],Shutdown.
